param_id,trial_type,trial_number,total_trial_number,mean_sample
47,background,1,2,74.12666666666667
47,background,1,4,70.87166666666667
47,background,1,6,72.39999999999999
47,background,2,2,24.321666666666665
47,background,2,4,22.778333333333332
47,background,2,6,21.816666666666666
47,background,3,4,15.035
47,background,3,6,14.711666666666666
47,background,4,4,11.47
47,background,4,6,12.655
47,background,5,6,9.755
47,background,6,6,8.928333333333333
47,deviant,2,2,24.321666666666665
47,deviant,4,4,11.47
47,deviant,6,6,8.928333333333333
48,background,1,2,35.858333333333334
48,background,1,4,32.526666666666664
48,background,1,6,32.531666666666666
48,background,2,2,13.205
48,background,2,4,12.26
48,background,2,6,13.455
48,background,3,4,10.008333333333333
48,background,3,6,8.665
48,background,4,4,8.331666666666667
48,background,4,6,7.996666666666667
48,background,5,6,7.17
48,background,6,6,5.85
48,deviant,2,2,13.205
48,deviant,4,4,8.331666666666667
48,deviant,6,6,5.85
49,background,1,2,63.693333333333335
49,background,1,4,65.105
49,background,1,6,69.24
49,background,2,2,23.43
49,background,2,4,24.665
49,background,2,6,21.953333333333333
49,background,3,4,16.02166666666667
49,background,3,6,15.859912280701755
49,background,4,4,13.168333333333333
49,background,4,6,10.711754385964912
49,background,5,6,10.293245614035088
49,background,6,6,8.263333333333334
49,deviant,2,2,23.43
49,deviant,4,4,13.168333333333333
49,deviant,6,6,8.263333333333334
50,background,1,2,39.451
50,background,1,4,39.717045454545456
50,background,1,6,38.13375
50,background,2,2,13.305
50,background,2,4,12.118181818181819
50,background,2,6,12.7775
50,background,3,4,9.057954545454546
50,background,3,6,8.63375
50,background,4,4,6.928409090909091
50,background,4,6,6.9225
50,background,5,6,6.11625
50,background,6,6,5.2475
50,deviant,2,2,13.305
50,deviant,4,4,6.928409090909091
50,deviant,6,6,5.2475
51,background,1,2,69.72127659574468
51,background,1,4,68.51125
51,background,1,6,68.615
51,background,2,2,21.386170212765958
51,background,2,4,21.915
51,background,2,6,20.86
51,background,3,4,14.5375
51,background,3,6,14.341666666666667
51,background,4,4,12.27625
51,background,4,6,11.791666666666666
51,background,5,6,9.685
51,background,6,6,8.988333333333333
51,deviant,2,2,21.386170212765958
51,deviant,4,4,12.27625
51,deviant,6,6,8.988333333333333
52,background,1,2,39.64833333333333
52,background,1,4,38.56
52,background,1,6,40.57
52,background,2,2,14.361666666666666
52,background,2,4,12.733333333333333
52,background,2,6,12.468333333333334
52,background,3,4,8.871666666666666
52,background,3,6,9.121666666666666
52,background,4,4,6.86
52,background,4,6,7.066666666666666
52,background,5,6,6.371666666666667
52,background,6,6,5.61
52,deviant,2,2,14.361666666666666
52,deviant,4,4,6.86
52,deviant,6,6,5.61
53,background,1,2,71.20555555555555
53,background,1,4,68.78833333333333
53,background,1,6,68.245
53,background,2,2,21.530555555555555
53,background,2,4,19.851666666666667
53,background,2,6,19.583333333333332
53,background,3,4,14.476666666666667
53,background,3,6,13.328333333333333
53,background,4,4,11.158333333333333
53,background,4,6,11.296666666666667
53,background,5,6,9.303333333333333
53,background,6,6,8.56
53,deviant,2,2,21.530555555555555
53,deviant,4,4,11.158333333333333
53,deviant,6,6,8.56
54,background,1,2,35.156666666666666
54,background,1,4,34.46666666666667
54,background,1,6,34.431666666666665
54,background,2,2,14.765
54,background,2,4,14.326666666666666
54,background,2,6,16.283333333333335
54,background,3,4,8.766666666666667
54,background,3,6,11.055
54,background,4,4,7.581666666666667
54,background,4,6,9.246666666666666
54,background,5,6,7.921666666666667
54,background,6,6,7.741666666666666
54,deviant,2,2,14.765
54,deviant,4,4,7.581666666666667
54,deviant,6,6,7.741666666666666
55,background,1,2,61.795
55,background,1,4,70.48
55,background,1,6,69.50333333333333
55,background,2,2,22.718333333333334
55,background,2,4,26.081666666666667
55,background,2,6,24.885
55,background,3,4,16.613333333333333
55,background,3,6,15.894912280701755
55,background,4,4,13.283333333333333
55,background,4,6,12.99561403508772
55,background,5,6,11.72140350877193
55,background,6,6,9.894424951267057
55,deviant,2,2,22.718333333333334
55,deviant,4,4,13.283333333333333
55,deviant,6,6,9.894424951267057
56,background,1,2,43.17666666666667
56,background,1,4,41.97666666666667
56,background,1,6,41.33833333333333
56,background,2,2,14.921666666666667
56,background,2,4,12.855
56,background,2,6,13.178333333333333
56,background,3,4,9.581666666666667
56,background,3,6,8.983333333333333
56,background,4,4,7.533333333333333
56,background,4,6,7.628333333333333
56,background,5,6,6.6033333333333335
56,background,6,6,5.91
56,deviant,2,2,14.921666666666667
56,deviant,4,4,7.533333333333333
56,deviant,6,6,5.91
57,background,1,2,69.16333333333333
57,background,1,4,73.39666666666666
57,background,1,6,74.715
57,background,2,2,22.53
57,background,2,4,21.69333333333333
57,background,2,6,22.473333333333333
57,background,3,4,16.071666666666665
57,background,3,6,16.19
57,background,4,4,12.425
57,background,4,6,12.843333333333334
57,background,5,6,11.36921052631579
57,background,6,6,9.934298245614036
57,deviant,2,2,22.53
57,deviant,4,4,12.425
57,deviant,6,6,9.934298245614036
58,background,1,2,39.855
58,background,1,4,41.36666666666667
58,background,1,6,40.748333333333335
58,background,2,2,12.526666666666667
58,background,2,4,14.195
58,background,2,6,13.776666666666667
58,background,3,4,11.181666666666667
58,background,3,6,9.813333333333333
58,background,4,4,8.796666666666667
58,background,4,6,7.79
58,background,5,6,7.181666666666667
58,background,6,6,6.098333333333334
58,deviant,2,2,12.526666666666667
58,deviant,4,4,8.796666666666667
58,deviant,6,6,6.098333333333334
59,background,1,2,70.92
59,background,1,4,75.39333333333333
59,background,1,6,72.83
59,background,2,2,20.72
59,background,2,4,23.143333333333334
59,background,2,6,21.601666666666667
59,background,3,4,17.101666666666667
59,background,3,6,15.151052631578947
59,background,4,4,14.483333333333333
59,background,4,6,12.023947368421053
59,background,5,6,10.345438596491228
59,background,6,6,9.159736842105263
59,deviant,2,2,20.72
59,deviant,4,4,14.483333333333333
59,deviant,6,6,9.159736842105263
60,background,1,2,34.865
60,background,1,4,35.26166666666667
60,background,1,6,35.901666666666664
60,background,2,2,15.166666666666666
60,background,2,4,13.578333333333333
60,background,2,6,13.86
60,background,3,4,9.958333333333334
60,background,3,6,10.39
60,background,4,4,8.208333333333334
60,background,4,6,8.18
60,background,5,6,8.221666666666668
60,background,6,6,6.963333333333333
60,deviant,2,2,15.166666666666666
